20230105	00:12:04	866318d4-112e-440a-bac8-4c2a2a2986b3	/new-page.html	GET}
20230105	00:12:04	a19669ae-5aa8-4561-aaf8-2561824f6093	/css/style.css	GET}
20230105	00:12:04	3daf5205-fd05-466c-8b7c-2bfe5d0c7009	/img/img1.jpg	GET}
20230105	00:13:44	a2b7c748-5433-4cb0-b933-96b55ba7614c	/new-page.html	GET}
20230105	00:14:18	46d789f1-0d18-4abb-a0b9-3ca1dc0eab40	/new-page.html	GET}
20230105	00:14:18	7127336b-ec71-47fe-b208-cbbe09d74268	/css/style.css	GET}
20230105	00:14:18	912d5829-3222-43e0-bff3-5c87bbf8fbea	/img/img1.jpg	GET}
20230105	00:16:42	556adeef-b6a4-4f08-8af5-1bea89137022	/new-page.html	GET}
20230105	00:16:42	24d09a30-0f89-4bdc-ae32-2f56e52ee31e	/css/style.css	GET}
20230105	00:16:42	c180d7a7-1a1d-42f5-89da-5490471a7ec2	/img/img1.jpg	GET}
20230106	15:42:21	11c58640-d21c-46eb-8644-f2032a3a22f3	GET	undefined	/}
20230106	15:42:22	964ecef1-d5ec-4dcd-a025-b99c4b9d6bd4	GET	undefined	/css/style.css}
20230106	15:54:03	d74cdbf9-82fc-49d5-93e7-6a7ff395e616	GET	undefined	/}
20230106	15:54:03	aa4817d5-fc21-43c6-81d1-24e18e609cdd	GET	undefined	/css/style.css}
20230106	15:55:40	c3e5bffa-48af-4a9f-94f7-a07dc53057d2	GET	undefined	/css/style.css}
20230106	15:56:30	bf5629c2-7f20-4c67-acb4-6b789e90fc2e	OPTIONS	https://www.google.com	/}
20230106	15:56:30	e660fb36-9593-4362-8e84-6dd8ac83bbd2	GET	https://www.google.com	/}
20230106	16:02:19	346d5072-ed59-4f95-969d-6fd591df2dc1	OPTIONS	https://www.google.com	/}
20230106	16:02:19	2f73c877-d310-4fa5-a92e-6dbdbe07de4c	GET	https://www.google.com	/}
20230106	17:09:04	870a1bcf-8b93-4f5b-8dba-53d571b03454	OPTIONS	https://www.google.com	/}
20230106	17:09:04	85300b73-ec46-4c32-a24d-61c3b78846d0	GET	https://www.google.com	/}
20230106	17:11:07	1bb99548-21aa-4be6-aced-12ef4d319a5f	OPTIONS	https://www.google.com	/}
20230106	17:11:07	011fe450-6032-4e1f-a12e-99e3227bf5f8	GET	https://www.google.com	/}
20230106	17:11:28	67c59541-c7d6-412f-a154-4825e57eb9c3	OPTIONS	https://www.google.com	/}
20230106	17:11:28	360d42fc-4a79-4173-bd47-0d0d55f274f8	GET	https://www.google.com	/}
20230106	17:14:05	b11d7b13-59f6-4fb2-b0b2-54f2023375ad	GET	undefined	/}
20230106	17:14:09	17712410-1a53-4eab-befe-9b53bc689a79	GET	undefined	/}
20230106	17:14:10	07fd6c66-a18f-441f-aa41-383675904e50	GET	undefined	/}
20230106	17:14:10	86023736-b9bf-4034-ab37-43439f6da6fa	GET	undefined	/}
20230106	17:14:10	352da1ca-6728-4a97-a159-fb0a2ab3e312	GET	undefined	/}
20230106	17:14:10	da03e99c-05e3-4e87-947c-9ac360ba66b9	GET	undefined	/}
